ClkCycle:         28, pc_rdata: 00000094, pc_wdata: 00000098, insn: fab18193, mode: 3, rs1_addr:  3, rs1_rdata: 00000000, rs2_addr: 11, rs2_rdata: 00000000, rd_addr:  3, rd_wdata: 7fbb6fab, mem_addr: 7fbb6fab, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         29, pc_rdata: 00000098, pc_wdata: 0000009c, insn: bfddb237, mode: 3, rs1_addr: 27, rs1_rdata: 00000000, rs2_addr: 29, rs2_rdata: 00000000, rd_addr:  4, rd_wdata: bfddb000, mem_addr: bfddb000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         30, pc_rdata: 0000009c, pc_wdata: 000000a0, insn: 7d520213, mode: 3, rs1_addr:  4, rs1_rdata: 00000000, rs2_addr: 21, rs2_rdata: 00000000, rd_addr:  4, rd_wdata: bfddb7d5, mem_addr: bfddb7d5, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         31, pc_rdata: 000000a0, pc_wdata: 000000a4, insn: 00000297, mode: 3, rs1_addr:  0, rs1_rdata: 00000000, rs2_addr:  0, rs2_rdata: 00000000, rd_addr:  5, rd_wdata: 000000a0, mem_addr: 000000a0, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         32, pc_rdata: 000000a4, pc_wdata: 000000a8, insn: 0d828293, mode: 3, rs1_addr:  5, rs1_rdata: 00000080, rs2_addr: 24, rs2_rdata: 00000000, rd_addr:  5, rd_wdata: 00000178, mem_addr: 00000178, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         33, pc_rdata: 000000a8, pc_wdata: 000000ac, insn: 00003317, mode: 3, rs1_addr:  0, rs1_rdata: 00000000, rs2_addr:  0, rs2_rdata: 00000000, rd_addr:  6, rd_wdata: 000030a8, mem_addr: 000030a8, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         34, pc_rdata: 000000ac, pc_wdata: 000000b0, insn: f5830313, mode: 3, rs1_addr:  6, rs1_rdata: 00000000, rs2_addr: 24, rs2_rdata: 00000000, rd_addr:  6, rd_wdata: 00003000, mem_addr: 00003000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         35, pc_rdata: 000000b0, pc_wdata: 000000b4, insn: b7fbb3b7, mode: 3, rs1_addr: 23, rs1_rdata: 00000000, rs2_addr: 31, rs2_rdata: 00000000, rd_addr:  7, rd_wdata: b7fbb000, mem_addr: b7fbb000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         36, pc_rdata: 000000b4, pc_wdata: 000000b8, insn: 6fa38393, mode: 3, rs1_addr:  7, rs1_rdata: 00000000, rs2_addr: 26, rs2_rdata: 00000000, rd_addr:  7, rd_wdata: b7fbb6fa, mem_addr: b7fbb6fa, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         37, pc_rdata: 000000b8, pc_wdata: 000000bc, insn: 5bfde437, mode: 3, rs1_addr: 27, rs1_rdata: 00000000, rs2_addr: 31, rs2_rdata: 00000000, rd_addr:  8, rd_wdata: 5bfde000, mem_addr: 5bfde000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         38, pc_rdata: 000000bc, pc_wdata: 000000c0, insn: b7d40413, mode: 3, rs1_addr:  8, rs1_rdata: 00000000, rs2_addr: 29, rs2_rdata: 00000000, rd_addr:  8, rd_wdata: 5bfddb7d, mem_addr: 5bfddb7d, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         39, pc_rdata: 000000c0, pc_wdata: 000000c4, insn: adfef4b7, mode: 3, rs1_addr: 29, rs1_rdata: 00000000, rs2_addr: 31, rs2_rdata: 00000000, rd_addr:  9, rd_wdata: adfef000, mem_addr: adfef000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         40, pc_rdata: 000000c4, pc_wdata: 000000c8, insn: dbe48493, mode: 3, rs1_addr:  9, rs1_rdata: 00000000, rs2_addr: 30, rs2_rdata: 00000000, rd_addr:  9, rd_wdata: adfeedbe, mem_addr: adfeedbe, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         41, pc_rdata: 000000c8, pc_wdata: 000000cc, insn: 56ff7537, mode: 3, rs1_addr: 30, rs1_rdata: 00000000, rs2_addr: 15, rs2_rdata: 00000000, rd_addr: 10, rd_wdata: 56ff7000, mem_addr: 56ff7000, mem_rdata: 00000000, mem_wdata: 00000000
